blade ward
dancing lights
friends
light
mage hand
mending
message
minor illusion
prestidigitation
true strike
vicious mockery
animal friendship
bane
charm person
comprehend language
cure wounds
detect magic
disguise self
dissonant whispers
distort value
earth tremor
faerie fire
feather fall
healing word
heroism
hideous laughter
identify
illusory script
longstrider
dilent image
silvery barbs
sleep
speak with animals
tashas hideous laughter
thunderwave
unseen servant
animal messenger
blindness deafness
borrowed knowledge
calm emotions
cloud of daggers
crown of madness
detect thoughts
enhance ability
enthrall
gift of gab
heat metal
hold person
invisibility
kinetic jaunt
knock
lesser restoration
locate animals or plants
locate object
magic mouth
nathairs mischeif
phantasmal force
pyrotechnics
see invisibility
shatter
silence
skywrite
suggestion
warding wind
zone of truth
